operationNumber, size, height, averageNodeDepth, timeForOperation, operationType
1890, 892, 11, 10.637892, 0.007000, search
1895, 893, 11, 10.637178, 0.011000, insert
1900, 892, 11, 10.650224, 0.007000, search
1905, 890, 11, 10.652809, 0.007000, remove
1910, 887, 11, 10.655017, 0.009000, remove
1915, 887, 11, 10.656144, 0.007000, remove
1920, 887, 11, 10.656144, 0.009000, insert
1925, 884, 11, 10.656109, 0.009000, remove
1930, 888, 11, 10.656532, 0.011000, insert
1935, 887, 11, 10.668546, 0.007000, search
1940, 887, 11, 10.671928, 0.010000, insert
1945, 887, 11, 10.670800, 0.009000, remove
1950, 889, 11, 10.670416, 0.010000, insert
1955, 890, 11, 10.669663, 0.011000, insert
1960, 888, 11, 10.668919, 0.006000, remove
1965, 889, 11, 10.669291, 0.010000, insert
1970, 889, 11, 10.671541, 0.010000, insert
1975, 885, 11, 10.670056, 0.007000, remove
1980, 890, 11, 10.671910, 0.011000, insert
1985, 888, 11, 10.684685, 0.004000, search
1990, 888, 11, 10.683559, 0.010000, remove
1995, 883, 11, 10.696489, 0.007000, search
2000, 880, 11, 10.707955, 0.006000, search
2005, 877, 11, 10.719498, 0.007000, search
2010, 876, 11, 10.728311, 0.007000, search
2015, 877, 11, 10.727480, 0.009000, remove
2020, 877, 11, 10.726340, 0.011000, insert
2025, 876, 11, 10.737443, 0.007000, search
2030, 876, 11, 10.737443, 0.009000, insert
2035, 877, 11, 10.749145, 0.007000, search
2040, 875, 11, 10.749714, 0.010000, remove
2045, 873, 11, 10.762887, 0.004000, search
2050, 875, 11, 10.763429, 0.011000, insert
2055, 873, 11, 10.764032, 0.010000, remove
2060, 873, 11, 10.766323, 0.006000, insert
2065, 870, 11, 10.778161, 0.007000, search
2070, 868, 11, 10.779954, 0.009000, remove
2075, 868, 11, 10.781106, 0.011000, insert
2080, 871, 11, 10.778416, 0.010000, insert
2085, 871, 11, 10.778416, 0.010000, insert
2090, 868, 11, 10.791475, 0.005000, search
2095, 867, 11, 10.805075, 0.004000, search
2100, 868, 11, 10.815668, 0.004000, search
2105, 865, 11, 10.827746, 0.005000, search
2110, 863, 11, 10.841251, 0.007000, search
2115, 866, 11, 10.839492, 0.010000, insert
2120, 865, 11, 10.840462, 0.009000, remove
2125, 863, 11, 10.838934, 0.010000, remove
2130, 863, 11, 10.851680, 0.006000, search
2135, 862, 11, 10.863109, 0.007000, search
2140, 858, 11, 10.876457, 0.006000, search
2145, 855, 11, 10.890058, 0.007000, search
2150, 856, 11, 10.901869, 0.007000, search
2155, 855, 11, 10.906433, 0.010000, remove
2160, 854, 11, 10.908665, 0.010000, remove
2165, 854, 11, 10.921546, 0.007000, search
2170, 854, 11, 10.919204, 0.010000, remove
2175, 856, 11, 10.918224, 0.011000, insert
2180, 857, 11, 10.931155, 0.006000, search
2185, 857, 11, 10.945158, 0.007000, search
2190, 859, 11, 10.944121, 0.010000, remove
2195, 860, 11, 10.944186, 0.010000, insert
2200, 861, 11, 10.958188, 0.007000, search
2205, 860, 11, 10.960465, 0.009000, remove
2210, 857, 11, 10.974329, 0.007000, search
2215, 855, 11, 10.966082, 0.009000, remove
2220, 855, 11, 10.978947, 0.007000, search
2225, 856, 11, 10.990654, 0.007000, search
2230, 857, 11, 10.989498, 0.034000, remove
2235, 857, 11, 11.001167, 0.006000, search
2240, 857, 11, 11.014002, 0.007000, search
2245, 858, 11, 11.011655, 0.009000, remove
2250, 859, 11, 11.011641, 0.011000, insert
2255, 862, 11, 11.024362, 0.007000, search
2260, 866, 11, 11.021940, 0.009000, insert
2265, 861, 11, 11.022067, 0.010000, remove
2270, 861, 11, 11.032520, 0.007000, search
2275, 860, 11, 11.033721, 0.010000, remove
2280, 857, 11, 11.035006, 0.009000, remove
2285, 855, 11, 11.036257, 0.006000, remove
2290, 852, 11, 11.050469, 0.007000, search
2295, 853, 11, 11.050410, 0.011000, insert
2300, 855, 11, 11.050292, 0.010000, insert
2305, 851, 11, 11.062280, 0.007000, search
2310, 851, 11, 11.065805, 0.009000, remove
2315, 850, 11, 11.067059, 0.010000, remove
2320, 849, 11, 11.080094, 0.007000, search
2325, 848, 11, 11.081368, 0.007000, insert
2330, 850, 11, 11.080000, 0.006000, insert
2335, 850, 11, 11.080000, 0.006000, remove
2340, 851, 11, 11.079906, 0.011000, insert
2345, 850, 11, 11.081176, 0.009000, remove
2350, 849, 11, 11.083628, 0.010000, insert
2355, 849, 11, 11.083628, 0.011000, insert
2360, 846, 11, 11.096927, 0.007000, search
2365, 842, 11, 11.112827, 0.008000, search
2370, 842, 11, 11.123515, 0.008000, search
2375, 843, 11, 11.122183, 0.011000, insert
2380, 842, 11, 11.136580, 0.007000, search
2385, 842, 11, 11.149644, 0.007000, search
2390, 840, 11, 11.164286, 0.007000, search
2395, 836, 11, 11.166268, 0.011000, remove
2400, 836, 11, 11.168660, 0.011000, insert
2405, 835, 11, 11.180838, 0.007000, search
2410, 835, 11, 11.191617, 0.008000, search
2415, 838, 11, 11.188544, 0.010000, insert
2420, 838, 11, 11.186158, 0.011000, insert
2425, 840, 11, 11.185714, 0.010000, remove
2430, 838, 11, 11.186158, 0.010000, remove
2435, 840, 11, 11.185714, 0.008000, insert
2440, 837, 11, 11.199522, 0.007000, search
2445, 834, 11, 11.211031, 0.007000, search
2450, 829, 11, 11.225573, 0.006000, search
2455, 831, 11, 11.222623, 0.010000, remove
2460, 828, 11, 11.225845, 0.011000, remove
2465, 829, 11, 11.226779, 0.010000, insert
2470, 831, 11, 11.227437, 0.010000, remove
2475, 833, 11, 11.220888, 0.006000, insert
2480, 831, 11, 11.221420, 0.010000, remove
2485, 829, 11, 11.224367, 0.010000, remove
2490, 828, 11, 11.239130, 0.008000, search
2495, 827, 11, 11.239420, 0.010000, remove
2500, 827, 11, 11.239420, 0.011000, remove
2505, 827, 11, 11.239420, 0.009000, remove
2510, 826, 11, 11.242131, 0.008000, insert
2515, 828, 11, 11.240338, 0.010000, remove
2520, 828, 11, 11.237923, 0.011000, insert
2525, 826, 11, 11.255448, 0.007000, search
2530, 829, 11, 11.253317, 0.011000, remove
2535, 827, 11, 11.253930, 0.010000, remove
2540, 830, 11, 11.248193, 0.011000, insert
2545, 829, 11, 11.249698, 0.010000, insert
2550, 824, 11, 11.268204, 0.007000, search
2555, 823, 11, 11.272175, 0.010000, remove
2560, 820, 11, 11.275610, 0.010000, remove
2565, 824, 11, 11.270631, 0.011000, insert
2570, 823, 11, 11.284326, 0.007000, search
2575, 824, 11, 11.282767, 0.012000, insert
2580, 822, 11, 11.284672, 0.010000, remove
2585, 819, 11, 11.289377, 0.010000, remove
2590, 822, 11, 11.300487, 0.008000, search
2595, 820, 11, 11.304878, 0.009000, remove
2600, 819, 11, 11.301587, 0.011000, remove
2605, 820, 11, 11.298780, 0.011000, insert
2610, 821, 11, 11.308161, 0.007000, search
2615, 822, 11, 11.306569, 0.011000, insert
2620, 823, 11, 11.304982, 0.011000, remove
2625, 823, 11, 11.301337, 0.011000, insert
2630, 824, 11, 11.303398, 0.010000, remove
2635, 820, 11, 11.310976, 0.010000, remove
2640, 823, 11, 11.308627, 0.010000, insert
2645, 822, 11, 11.307786, 0.010000, remove
2650, 824, 11, 11.304612, 0.008000, insert
2655, 825, 11, 11.301818, 0.012000, insert
2660, 823, 11, 11.306197, 0.011000, remove
2665, 822, 11, 11.307786, 0.012000, insert
2670, 821, 11, 11.309379, 0.011000, remove
2675, 822, 11, 11.319951, 0.008000, search
2680, 819, 11, 11.335775, 0.007000, search
2685, 822, 11, 11.332117, 0.012000, insert
2690, 822, 11, 11.333333, 0.012000, insert
2695, 823, 11, 11.346294, 0.008000, search
2700, 820, 11, 11.360976, 0.008000, search
2705, 821, 11, 11.373934, 0.008000, search
2710, 821, 11, 11.373934, 0.012000, insert
2715, 818, 11, 11.392421, 0.008000, search
2720, 818, 11, 11.394866, 0.012000, insert
2725, 821, 11, 11.392205, 0.012000, insert
2730, 823, 11, 11.388821, 0.011000, remove
2735, 824, 11, 11.389563, 0.012000, insert
2740, 823, 11, 11.391252, 0.011000, insert
2745, 825, 11, 11.387879, 0.011000, remove
2750, 822, 11, 11.394161, 0.008000, remove
2755, 822, 11, 11.394161, 0.009000, remove
2760, 820, 11, 11.392683, 0.011000, remove
2765, 821, 11, 11.405603, 0.007000, search
2770, 824, 11, 11.416262, 0.008000, search
2775, 820, 11, 11.435366, 0.007000, search
2780, 816, 11, 11.455882, 0.007000, search
2785, 812, 11, 11.474138, 0.008000, search
2790, 813, 11, 11.472325, 0.012000, insert
2795, 811, 11, 11.489519, 0.007000, search
2800, 808, 11, 11.506188, 0.008000, search
2805, 808, 11, 11.504950, 0.012000, insert
2810, 807, 11, 11.519207, 0.008000, search
2815, 807, 11, 11.519207, 0.011000, remove
2820, 803, 11, 11.524284, 0.011000, remove
2825, 805, 11, 11.521739, 0.012000, insert
2830, 805, 11, 11.524224, 0.011000, remove
2835, 804, 11, 11.528607, 0.011000, remove
2840, 804, 11, 11.539801, 0.007000, search
2845, 807, 11, 11.536555, 0.011000, insert
2850, 807, 11, 11.536555, 0.012000, insert
2855, 812, 11, 11.532020, 0.011000, insert
2860, 813, 11, 11.528905, 0.011000, insert
2865, 812, 11, 11.544335, 0.008000, search
2870, 812, 11, 11.544335, 0.012000, insert
2875, 813, 11, 11.542435, 0.010000, remove
2880, 814, 11, 11.540541, 0.012000, insert
2885, 814, 11, 11.540541, 0.011000, insert
2890, 813, 11, 11.537515, 0.011000, remove
2895, 811, 11, 11.538841, 0.011000, remove
2900, 813, 11, 11.535055, 0.012000, insert
2905, 814, 11, 11.546683, 0.008000, search
2910, 815, 11, 11.548466, 0.010000, remove
2915, 816, 11, 11.561275, 0.006000, search
2920, 815, 11, 11.559509, 0.010000, remove
2925, 815, 11, 11.573006, 0.008000, search
2930, 814, 11, 11.571253, 0.008000, remove
2935, 816, 11, 11.564951, 0.008000, insert
2940, 815, 11, 11.565644, 0.011000, insert
2945, 814, 11, 11.567568, 0.018000, remove
2950, 810, 11, 11.565432, 0.011000, remove
2955, 809, 11, 11.566131, 0.011000, remove
2960, 809, 11, 11.566131, 0.010000, remove
